,Unnamed: 0,id,title,price,brand,style,heel_type,heel_height,width,shoe_width,material,occasion,country_region_of_manufacture,lining_material,upper_material,shoe_size,toe_shape,model,year_of_manufacture,size,colour,color,main_colour,lining,sole,vintage,closure,pattern,theme,fastening,platform_height,location,n_sold,n_watchers,free_shipping,longtime_member,same_day_shipping,fast_safe_shipping,returns,feedback,condition,seller_notes,category,new_brand,new_country
0,1,1,Manolo Blahnik New Runway Auth Pink Black Bow Satin Mules Heels Shoes 7 US 37 EU,261.435,Manolo Blahnik,Mule,,Mid (2-2.9 in),"Medium (B, M)",B,,Party/Cocktail,Italy,,Fabric,,Pointed Toe,,,,,Pink Black,,,,No,,,,,,"Newport Beach, California, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,New without box,"“New, elegant & luxurious mules heels.”",heels,Manolo Blahnik,United States
1,2,2,Womens Ankle Strap Low Block Heels Sandals Ladies Closed Toe Court Shoes Pumps,21.66735,Unbranded,Pump,,Low (1-1.9 in),,B,,Party/Cocktail,,Fabric,Faux Suede,,Round Toe,,2010-2019,,,,,,,Yes,Buckle,Solid,,,,"Hong Kong, Hong Kong",,,0.0,1.0,0.0,0.0,1.0,0.0,New without box,"“If you have a wide or thick foot, we advise you to choose one size bigger.”",heels,Unbranded,Hong Kong
2,3,3,Pin Up Couture Siren - 03,64.68305,,,,,,,,,,,,,,,,,,,,,,,,,,,,"London, United Kingdom",,,0.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Siren,United Kingdom
3,4,4,New Women Ladies Ankle Strap Peep Toe Pump High Heel Platform Sandals Shoes Size,28.5998,Unbranded,"Platform, Slingback",,Ultra High (4 in & Higher),,B,,"Business,Casual,Formal,Party/Cocktail,Travel,Wedding,Workwear",,PVC,PVC,,Peep Toe,,2020-2029,,,,,,,,Buckle,Solid,,,,"Hong Kong (HK), Hong Kong",,21.0,0.0,0.0,0.0,0.0,1.0,0.0,New without box,,heels,Unbranded,Hong Kong
4,5,5,CHRISTIAN LOUBOUTIN DÉCOLLETÉ BLACK POINTED TOE HIGH HEELS SIZE 38,305.167,Christian Louboutin,Pump,,High (3-3.9 in),,3’,,,,,Patent Leather,,Pointed Toe,Christian Louboutin Decollete,,,,Black,,,,,,,,,,"Dallas, Texas, United States",,,0.0,1.0,0.0,1.0,0.0,0.0,Pre-owned,,heels,Christian Louboutin,United States
5,6,6,Bottega Venetta New Runway Auth Gold Leather Heels Pumps Shoes 7 US 37 EU ,261.435,Bottega Veneta,Pump,,High (3-3.9 in),,B,,,,,Leather,,Pointed Toe,,,,,Gold,,,,No,,,Metal,,,"Newport Beach, California, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,New without box,"“Brand new, elegant & luxurious gold leather heels. Made in ITALY.”",heels,Bottega Veneta,United States
6,7,7,Womens Ladies Clear Diomand Pointed High Heels Stiletto Court Wedding Sandals,34.8957,Unbranded,Court,,Very High Heel (4 1/2 in or More),,B,,Evening & Party prom wedding bridal,China,FAUX LEATHER PLASTIC,Plastic,,Pointed Toe,,2010-2020,,Clear NUDE,,,,,No,SLIP ON,,,,0.39 in,"Beijing, China",,,0.0,0.0,0.0,0.0,1.0,1.0,New without box,,heels,Unbranded,China
7,8,8,SIGERSON MORRISON Black Leather Marie Mules US 8.5 UK 6 EU 39,70.1742,SIGERSON MORRISON,Mules,,Low (3/4 to 1 1/2 in),,,100% Leather,,Italy,,,,,,,,Black,,Black,Leather,Leather,,,,,Slip On,,"Bury St. Edmunds, United Kingdom",,,0.0,1.0,0.0,0.0,0.0,0.0,Pre-owned,"“Excellent condition - gorgeous shoes, worn once”",heels,SIGERSON MORRISON,United Kingdom
8,9,10,Women's High Heels Pointed Toe Pumps Snakeskin Pattern Sandals Shoes US 4.5-11.5,52.2058,Unbranded,"Pumps, Classics",Stiletto,Very High Heel (4 1/2 in or More),"Medium (B, M)",,Synthetic,Casual,China,,,,,,,,,,,,,,,Animal Print,,Slip On,,"Beijing, China",,,1.0,1.0,0.0,0.0,1.0,0.0,New with box,,heels,Unbranded,China
9,10,11,Celine Paris Runway Auth Brown Leather Wedge Shoes Heels Zip 5 US 35 EU,169.882,Celine,Platform,,High (3-3.9 in),,B,,,,,Leather,,Round Toe,,,,,Brown,,,,No,,,Paris,,,"Newport Beach, California, United States",,,0.0,1.0,0.0,0.0,1.0,0.0,Pre-owned,"“Excellent condition, elegant & luxurious brown leather wedges.”",heels,Celine,United States
